,item_id
96,FOODS_1_011_TX_3
97,FOODS_1_011_WI_1
98,FOODS_1_011_WI_2
99,FOODS_1_011_WI_3
100,FOODS_1_012_CA_1
101,FOODS_1_012_CA_2
102,FOODS_1_012_CA_3
103,FOODS_1_012_CA_4
104,FOODS_1_012_TX_1
105,FOODS_1_012_TX_2
106,FOODS_1_012_TX_3
107,FOODS_1_012_WI_1
108,FOODS_1_012_WI_2
109,FOODS_1_012_WI_3
110,FOODS_1_013_CA_1
111,FOODS_1_013_CA_2
112,FOODS_1_013_CA_3
113,FOODS_1_013_CA_4
114,FOODS_1_013_TX_1
115,FOODS_1_013_TX_2
116,FOODS_1_013_TX_3
117,FOODS_1_013_WI_1
118,FOODS_1_013_WI_2
119,FOODS_1_013_WI_3
120,FOODS_1_014_CA_1
121,FOODS_1_014_CA_2
122,FOODS_1_014_CA_3
123,FOODS_1_014_CA_4
124,FOODS_1_014_TX_1
125,FOODS_1_014_TX_2
126,FOODS_1_014_TX_3
127,FOODS_1_014_WI_1
128,FOODS_1_014_WI_2
129,FOODS_1_014_WI_3
130,FOODS_1_015_CA_1
131,FOODS_1_015_CA_2
132,FOODS_1_015_CA_3
133,FOODS_1_015_CA_4
134,FOODS_1_015_TX_1
135,FOODS_1_015_TX_2
136,FOODS_1_015_TX_3
137,FOODS_1_015_WI_1
138,FOODS_1_015_WI_2
139,FOODS_1_015_WI_3
140,FOODS_1_016_CA_1
141,FOODS_1_016_CA_2
142,FOODS_1_016_CA_3
143,FOODS_1_016_CA_4
144,FOODS_1_016_TX_1
145,FOODS_1_016_TX_2
146,FOODS_1_016_TX_3
147,FOODS_1_016_WI_1
148,FOODS_1_016_WI_2
149,FOODS_1_016_WI_3
150,FOODS_1_017_CA_1
151,FOODS_1_017_CA_2
152,FOODS_1_017_CA_3
153,FOODS_1_017_CA_4
154,FOODS_1_017_TX_1
155,FOODS_1_017_TX_2
156,FOODS_1_017_TX_3
157,FOODS_1_017_WI_1
158,FOODS_1_017_WI_2
159,FOODS_1_017_WI_3
160,FOODS_1_018_CA_1
161,FOODS_1_018_CA_2
162,FOODS_1_018_CA_3
163,FOODS_1_018_CA_4
164,FOODS_1_018_TX_1
165,FOODS_1_018_TX_2
166,FOODS_1_018_TX_3
167,FOODS_1_018_WI_1
168,FOODS_1_018_WI_2
169,FOODS_1_018_WI_3
170,FOODS_1_019_CA_1
171,FOODS_1_019_CA_2
172,FOODS_1_019_CA_3
173,FOODS_1_019_CA_4
174,FOODS_1_019_TX_1
175,FOODS_1_019_TX_2
176,FOODS_1_019_TX_3
177,FOODS_1_019_WI_1
178,FOODS_1_019_WI_2
179,FOODS_1_019_WI_3
180,FOODS_1_020_CA_1
181,FOODS_1_020_CA_2
182,FOODS_1_020_CA_3
183,FOODS_1_020_CA_4
184,FOODS_1_020_TX_1
185,FOODS_1_020_TX_2
186,FOODS_1_020_TX_3
187,FOODS_1_020_WI_1
188,FOODS_1_020_WI_2
189,FOODS_1_020_WI_3
190,FOODS_1_021_CA_1
191,FOODS_1_021_CA_2
192,FOODS_1_021_CA_3
193,FOODS_1_021_CA_4
194,FOODS_1_021_TX_1
195,FOODS_1_021_TX_2
196,FOODS_1_021_TX_3
197,FOODS_1_021_WI_1
198,FOODS_1_021_WI_2
199,FOODS_1_021_WI_3
200,FOODS_1_022_CA_1
201,FOODS_1_022_CA_2
202,FOODS_1_022_CA_3
203,FOODS_1_022_CA_4
204,FOODS_1_022_TX_1
205,FOODS_1_022_TX_2
206,FOODS_1_022_TX_3
207,FOODS_1_022_WI_1
208,FOODS_1_022_WI_2
209,FOODS_1_022_WI_3
210,FOODS_1_023_CA_1
211,FOODS_1_023_CA_2
212,FOODS_1_023_CA_3
213,FOODS_1_023_CA_4
214,FOODS_1_023_TX_1
215,FOODS_1_023_TX_2
216,FOODS_1_023_TX_3
217,FOODS_1_023_WI_1
218,FOODS_1_023_WI_2
219,FOODS_1_023_WI_3
220,FOODS_1_024_CA_1
221,FOODS_1_024_CA_2
222,FOODS_1_024_CA_3
223,FOODS_1_024_CA_4
224,FOODS_1_024_TX_1
225,FOODS_1_024_TX_2
226,FOODS_1_024_TX_3
227,FOODS_1_024_WI_1
228,FOODS_1_024_WI_2
229,FOODS_1_024_WI_3
230,FOODS_1_025_CA_1
231,FOODS_1_025_CA_2
232,FOODS_1_025_CA_3
233,FOODS_1_025_CA_4
234,FOODS_1_025_TX_1
235,FOODS_1_025_TX_2
236,FOODS_1_025_TX_3
237,FOODS_1_025_WI_1
238,FOODS_1_025_WI_2
239,FOODS_1_025_WI_3
240,FOODS_1_026_CA_1
241,FOODS_1_026_CA_2
242,FOODS_1_026_CA_3
243,FOODS_1_026_CA_4
244,FOODS_1_026_TX_1
245,FOODS_1_026_TX_2
246,FOODS_1_026_TX_3
247,FOODS_1_026_WI_1
248,FOODS_1_026_WI_2
249,FOODS_1_026_WI_3
250,FOODS_1_027_CA_1
251,FOODS_1_027_CA_2
252,FOODS_1_027_CA_3
253,FOODS_1_027_CA_4
254,FOODS_1_027_TX_1
255,FOODS_1_027_TX_2
256,FOODS_1_027_TX_3
257,FOODS_1_027_WI_1
258,FOODS_1_027_WI_2
259,FOODS_1_027_WI_3
260,FOODS_1_028_CA_1
261,FOODS_1_028_CA_2
262,FOODS_1_028_CA_3
263,FOODS_1_028_CA_4
264,FOODS_1_028_TX_1
265,FOODS_1_028_TX_2
266,FOODS_1_028_TX_3
267,FOODS_1_028_WI_1
268,FOODS_1_028_WI_2
269,FOODS_1_028_WI_3
270,FOODS_1_029_CA_1
271,FOODS_1_029_CA_2
272,FOODS_1_029_CA_3
273,FOODS_1_029_CA_4
274,FOODS_1_029_TX_1
275,FOODS_1_029_TX_2
276,FOODS_1_029_TX_3
277,FOODS_1_029_WI_1
278,FOODS_1_029_WI_2
279,FOODS_1_029_WI_3
280,FOODS_1_030_CA_1
281,FOODS_1_030_CA_2
282,FOODS_1_030_CA_3
283,FOODS_1_030_CA_4
284,FOODS_1_030_TX_1
285,FOODS_1_030_TX_2
286,FOODS_1_030_TX_3
287,FOODS_1_030_WI_1
288,FOODS_1_030_WI_2
289,FOODS_1_030_WI_3
290,FOODS_1_031_CA_1
291,FOODS_1_031_CA_2
292,FOODS_1_031_CA_3
293,FOODS_1_031_CA_4
294,FOODS_1_031_TX_1
295,FOODS_1_031_TX_2
296,FOODS_1_031_TX_3
297,FOODS_1_031_WI_1
298,FOODS_1_031_WI_2
299,FOODS_1_031_WI_3
300,FOODS_1_032_CA_1
301,FOODS_1_032_CA_2
302,FOODS_1_032_CA_3
303,FOODS_1_032_CA_4
304,FOODS_1_032_TX_1
305,FOODS_1_032_TX_2
306,FOODS_1_032_TX_3
307,FOODS_1_032_WI_1
308,FOODS_1_032_WI_2
309,FOODS_1_032_WI_3
310,FOODS_1_033_CA_1
311,FOODS_1_033_CA_2
312,FOODS_1_033_CA_3
313,FOODS_1_033_CA_4
314,FOODS_1_033_TX_1
315,FOODS_1_033_TX_2
316,FOODS_1_033_TX_3
317,FOODS_1_033_WI_1
318,FOODS_1_033_WI_2
319,FOODS_1_033_WI_3
320,FOODS_1_034_CA_1
321,FOODS_1_034_CA_2
322,FOODS_1_034_CA_3
323,FOODS_1_034_CA_4
324,FOODS_1_034_TX_1
325,FOODS_1_034_TX_2
326,FOODS_1_034_TX_3
327,FOODS_1_034_WI_1
328,FOODS_1_034_WI_2
329,FOODS_1_034_WI_3
330,FOODS_1_035_CA_1
331,FOODS_1_035_CA_2
332,FOODS_1_035_CA_3
333,FOODS_1_035_CA_4
334,FOODS_1_035_TX_1
335,FOODS_1_035_TX_2
336,FOODS_1_035_TX_3
337,FOODS_1_035_WI_1
338,FOODS_1_035_WI_2
339,FOODS_1_035_WI_3
340,FOODS_1_036_CA_1
341,FOODS_1_036_CA_2
342,FOODS_1_036_CA_3
343,FOODS_1_036_CA_4
344,FOODS_1_036_TX_1
345,FOODS_1_036_TX_2
346,FOODS_1_036_TX_3
347,FOODS_1_036_WI_1
348,FOODS_1_036_WI_2
349,FOODS_1_036_WI_3
350,FOODS_1_037_CA_1
351,FOODS_1_037_CA_2
352,FOODS_1_037_CA_3
353,FOODS_1_037_CA_4
354,FOODS_1_037_TX_1
355,FOODS_1_037_TX_2
356,FOODS_1_037_TX_3
357,FOODS_1_037_WI_1
358,FOODS_1_037_WI_2
359,FOODS_1_037_WI_3
360,FOODS_1_038_CA_1
361,FOODS_1_038_CA_2
362,FOODS_1_038_CA_3
363,FOODS_1_038_CA_4
364,FOODS_1_038_TX_1
365,FOODS_1_038_TX_2
366,FOODS_1_038_TX_3
367,FOODS_1_038_WI_1
368,FOODS_1_038_WI_2
369,FOODS_1_038_WI_3
370,FOODS_1_039_CA_1
371,FOODS_1_039_CA_2
372,FOODS_1_039_CA_3
373,FOODS_1_039_CA_4
374,FOODS_1_039_TX_1
375,FOODS_1_039_TX_2
376,FOODS_1_039_TX_3
377,FOODS_1_039_WI_1
378,FOODS_1_039_WI_2
379,FOODS_1_039_WI_3
380,FOODS_1_040_CA_1
381,FOODS_1_040_CA_2
382,FOODS_1_040_CA_3
383,FOODS_1_040_CA_4
384,FOODS_1_040_TX_1
385,FOODS_1_040_TX_2
386,FOODS_1_040_TX_3
387,FOODS_1_040_WI_1
388,FOODS_1_040_WI_2
389,FOODS_1_040_WI_3
390,FOODS_1_041_CA_1
391,FOODS_1_041_CA_2
392,FOODS_1_041_CA_3
393,FOODS_1_041_CA_4
394,FOODS_1_041_TX_1
395,FOODS_1_041_TX_2
396,FOODS_1_041_TX_3
397,FOODS_1_041_WI_1
398,FOODS_1_041_WI_2
399,FOODS_1_041_WI_3
400,FOODS_1_042_CA_1
401,FOODS_1_042_CA_2
402,FOODS_1_042_CA_3
403,FOODS_1_042_CA_4
404,FOODS_1_042_TX_1
405,FOODS_1_042_TX_2
406,FOODS_1_042_TX_3
407,FOODS_1_042_WI_1
408,FOODS_1_042_WI_2
409,FOODS_1_042_WI_3
410,FOODS_1_043_CA_1
411,FOODS_1_043_CA_2
412,FOODS_1_043_CA_3
413,FOODS_1_043_CA_4
414,FOODS_1_043_TX_1
415,FOODS_1_043_TX_2
416,FOODS_1_043_TX_3
417,FOODS_1_043_WI_1
418,FOODS_1_043_WI_2
419,FOODS_1_043_WI_3
420,FOODS_1_044_CA_1
421,FOODS_1_044_CA_2
422,FOODS_1_044_CA_3
423,FOODS_1_044_CA_4
424,FOODS_1_044_TX_1
425,FOODS_1_044_TX_2
426,FOODS_1_044_TX_3
427,FOODS_1_044_WI_1
428,FOODS_1_044_WI_2
429,FOODS_1_044_WI_3
430,FOODS_1_045_CA_1
431,FOODS_1_045_CA_2
432,FOODS_1_045_CA_3
433,FOODS_1_045_CA_4
434,FOODS_1_045_TX_1
435,FOODS_1_045_TX_2
436,FOODS_1_045_TX_3
437,FOODS_1_045_WI_1
438,FOODS_1_045_WI_2
439,FOODS_1_045_WI_3
440,FOODS_1_046_CA_1
441,FOODS_1_046_CA_2
442,FOODS_1_046_CA_3
443,FOODS_1_046_CA_4
444,FOODS_1_046_TX_1
445,FOODS_1_046_TX_2
446,FOODS_1_046_TX_3
447,FOODS_1_046_WI_1
448,FOODS_1_046_WI_2
449,FOODS_1_046_WI_3
450,FOODS_1_047_CA_1
451,FOODS_1_047_CA_2
452,FOODS_1_047_CA_3
453,FOODS_1_047_CA_4
454,FOODS_1_047_TX_1
455,FOODS_1_047_TX_2
456,FOODS_1_047_TX_3
457,FOODS_1_047_WI_1
458,FOODS_1_047_WI_2
459,FOODS_1_047_WI_3
460,FOODS_1_048_CA_1
461,FOODS_1_048_CA_2
462,FOODS_1_048_CA_3
463,FOODS_1_048_CA_4
464,FOODS_1_048_TX_1
465,FOODS_1_048_TX_2
466,FOODS_1_048_TX_3
467,FOODS_1_048_WI_1
468,FOODS_1_048_WI_2
469,FOODS_1_048_WI_3
470,FOODS_1_049_CA_1
471,FOODS_1_049_CA_2
472,FOODS_1_049_CA_3
473,FOODS_1_049_CA_4
474,FOODS_1_049_TX_1
475,FOODS_1_049_TX_2
476,FOODS_1_049_TX_3
477,FOODS_1_049_WI_1
478,FOODS_1_049_WI_2
479,FOODS_1_049_WI_3
480,FOODS_1_050_CA_1
481,FOODS_1_050_CA_2
482,FOODS_1_050_CA_3
483,FOODS_1_050_CA_4
484,FOODS_1_050_TX_1
485,FOODS_1_050_TX_2
486,FOODS_1_050_TX_3
487,FOODS_1_050_WI_1
488,FOODS_1_050_WI_2
489,FOODS_1_050_WI_3
490,FOODS_1_051_CA_1
491,FOODS_1_051_CA_2
492,FOODS_1_051_CA_3
493,FOODS_1_051_CA_4
494,FOODS_1_051_TX_1
495,FOODS_1_051_TX_2
496,FOODS_1_051_TX_3
497,FOODS_1_051_WI_1
498,FOODS_1_051_WI_2
499,FOODS_1_051_WI_3
500,FOODS_1_052_CA_1
501,FOODS_1_052_CA_2
502,FOODS_1_052_CA_3
503,FOODS_1_052_CA_4
504,FOODS_1_052_TX_1
505,FOODS_1_052_TX_2
506,FOODS_1_052_TX_3
507,FOODS_1_052_WI_1
508,FOODS_1_052_WI_2
509,FOODS_1_052_WI_3
510,FOODS_1_053_CA_1
511,FOODS_1_053_CA_2
512,FOODS_1_053_CA_3
513,FOODS_1_053_CA_4
514,FOODS_1_053_TX_1
515,FOODS_1_053_TX_2
516,FOODS_1_053_TX_3
517,FOODS_1_053_WI_1
518,FOODS_1_053_WI_2
519,FOODS_1_053_WI_3
520,FOODS_1_054_CA_1
521,FOODS_1_054_CA_2
522,FOODS_1_054_CA_3
523,FOODS_1_054_CA_4
524,FOODS_1_054_TX_1
525,FOODS_1_054_TX_2
526,FOODS_1_054_TX_3
527,FOODS_1_054_WI_1
528,FOODS_1_054_WI_2
529,FOODS_1_054_WI_3
530,FOODS_1_055_CA_1
531,FOODS_1_055_CA_2
532,FOODS_1_055_CA_3
533,FOODS_1_055_CA_4
534,FOODS_1_055_TX_1
535,FOODS_1_055_TX_2
536,FOODS_1_055_TX_3
537,FOODS_1_055_WI_1
538,FOODS_1_055_WI_2
539,FOODS_1_055_WI_3
540,FOODS_1_056_CA_1
541,FOODS_1_056_CA_2
542,FOODS_1_056_CA_3
543,FOODS_1_056_CA_4
544,FOODS_1_056_TX_1
545,FOODS_1_056_TX_2
546,FOODS_1_056_TX_3
547,FOODS_1_056_WI_1
548,FOODS_1_056_WI_2
549,FOODS_1_056_WI_3
550,FOODS_1_057_CA_1
551,FOODS_1_057_CA_2
552,FOODS_1_057_CA_3
553,FOODS_1_057_CA_4
554,FOODS_1_057_TX_1
555,FOODS_1_057_TX_2
556,FOODS_1_057_TX_3
557,FOODS_1_057_WI_1
558,FOODS_1_057_WI_2
559,FOODS_1_057_WI_3
560,FOODS_1_058_CA_1
561,FOODS_1_058_CA_2
562,FOODS_1_058_CA_3
563,FOODS_1_058_CA_4
564,FOODS_1_058_TX_1
565,FOODS_1_058_TX_2
566,FOODS_1_058_TX_3
567,FOODS_1_058_WI_1
568,FOODS_1_058_WI_2
569,FOODS_1_058_WI_3
570,FOODS_1_059_CA_1
571,FOODS_1_059_CA_2
572,FOODS_1_059_CA_3
573,FOODS_1_059_CA_4
574,FOODS_1_059_TX_1
575,FOODS_1_059_TX_2
576,FOODS_1_059_TX_3
577,FOODS_1_059_WI_1
578,FOODS_1_059_WI_2
579,FOODS_1_059_WI_3
580,FOODS_1_060_CA_1
581,FOODS_1_060_CA_2
582,FOODS_1_060_CA_3
583,FOODS_1_060_CA_4
584,FOODS_1_060_TX_1
585,FOODS_1_060_TX_2
586,FOODS_1_060_TX_3
587,FOODS_1_060_WI_1
588,FOODS_1_060_WI_2
589,FOODS_1_060_WI_3
590,FOODS_1_061_CA_1
591,FOODS_1_061_CA_2
592,FOODS_1_061_CA_3
593,FOODS_1_061_CA_4
594,FOODS_1_061_TX_1
595,FOODS_1_061_TX_2
596,FOODS_1_061_TX_3
597,FOODS_1_061_WI_1
598,FOODS_1_061_WI_2
599,FOODS_1_061_WI_3
600,FOODS_1_062_CA_1
601,FOODS_1_062_CA_2
602,FOODS_1_062_CA_3
603,FOODS_1_062_CA_4
604,FOODS_1_062_TX_1
605,FOODS_1_062_TX_2
606,FOODS_1_062_TX_3
607,FOODS_1_062_WI_1
608,FOODS_1_062_WI_2
609,FOODS_1_062_WI_3
610,FOODS_1_063_CA_1
611,FOODS_1_063_CA_2
612,FOODS_1_063_CA_3
613,FOODS_1_063_CA_4
614,FOODS_1_063_TX_1
615,FOODS_1_063_TX_2
616,FOODS_1_063_TX_3
617,FOODS_1_063_WI_1
618,FOODS_1_063_WI_2
619,FOODS_1_063_WI_3
620,FOODS_1_064_CA_1
621,FOODS_1_064_CA_2
622,FOODS_1_064_CA_3
623,FOODS_1_064_CA_4
624,FOODS_1_064_TX_1
625,FOODS_1_064_TX_2
626,FOODS_1_064_TX_3
627,FOODS_1_064_WI_1
628,FOODS_1_064_WI_2
629,FOODS_1_064_WI_3
630,FOODS_1_065_CA_1
631,FOODS_1_065_CA_2
632,FOODS_1_065_CA_3
633,FOODS_1_065_CA_4
634,FOODS_1_065_TX_1
635,FOODS_1_065_TX_2
636,FOODS_1_065_TX_3
637,FOODS_1_065_WI_1
638,FOODS_1_065_WI_2
639,FOODS_1_065_WI_3
640,FOODS_1_066_CA_1
641,FOODS_1_066_CA_2
642,FOODS_1_066_CA_3
643,FOODS_1_066_CA_4
644,FOODS_1_066_TX_1
645,FOODS_1_066_TX_2
646,FOODS_1_066_TX_3
647,FOODS_1_066_WI_1
648,FOODS_1_066_WI_2
649,FOODS_1_066_WI_3
650,FOODS_1_067_CA_1
651,FOODS_1_067_CA_2
652,FOODS_1_067_CA_3
653,FOODS_1_067_CA_4
654,FOODS_1_067_TX_1
655,FOODS_1_067_TX_2
656,FOODS_1_067_TX_3
657,FOODS_1_067_WI_1
658,FOODS_1_067_WI_2
659,FOODS_1_067_WI_3
660,FOODS_1_068_CA_1
661,FOODS_1_068_CA_2
662,FOODS_1_068_CA_3
663,FOODS_1_068_CA_4
664,FOODS_1_068_TX_1
665,FOODS_1_068_TX_2
666,FOODS_1_068_TX_3
667,FOODS_1_068_WI_1
668,FOODS_1_068_WI_2
669,FOODS_1_068_WI_3
670,FOODS_1_069_CA_1
671,FOODS_1_069_CA_2
672,FOODS_1_069_CA_3
673,FOODS_1_069_CA_4
674,FOODS_1_069_TX_1
675,FOODS_1_069_TX_2
676,FOODS_1_069_TX_3
677,FOODS_1_069_WI_1
678,FOODS_1_069_WI_2
679,FOODS_1_069_WI_3
680,FOODS_1_070_CA_1
681,FOODS_1_070_CA_2
682,FOODS_1_070_CA_3
683,FOODS_1_070_CA_4
684,FOODS_1_070_TX_1
685,FOODS_1_070_TX_2
686,FOODS_1_070_TX_3
687,FOODS_1_070_WI_1
688,FOODS_1_070_WI_2
689,FOODS_1_070_WI_3
690,FOODS_1_071_CA_1
691,FOODS_1_071_CA_2
692,FOODS_1_071_CA_3
693,FOODS_1_071_CA_4
694,FOODS_1_071_TX_1
695,FOODS_1_071_TX_2
696,FOODS_1_071_TX_3
697,FOODS_1_071_WI_1
698,FOODS_1_071_WI_2
699,FOODS_1_071_WI_3
700,FOODS_1_072_CA_1
701,FOODS_1_072_CA_2
702,FOODS_1_072_CA_3
703,FOODS_1_072_CA_4
704,FOODS_1_072_TX_1
705,FOODS_1_072_TX_2
706,FOODS_1_072_TX_3
707,FOODS_1_072_WI_1
708,FOODS_1_072_WI_2
709,FOODS_1_072_WI_3
710,FOODS_1_073_CA_1
711,FOODS_1_073_CA_2
712,FOODS_1_073_CA_3
713,FOODS_1_073_CA_4
714,FOODS_1_073_TX_1
715,FOODS_1_073_TX_2
716,FOODS_1_073_TX_3
717,FOODS_1_073_WI_1
718,FOODS_1_073_WI_2
719,FOODS_1_073_WI_3
720,FOODS_1_074_CA_1
721,FOODS_1_074_CA_2
722,FOODS_1_074_CA_3
723,FOODS_1_074_CA_4
724,FOODS_1_074_TX_1
725,FOODS_1_074_TX_2
726,FOODS_1_074_TX_3
727,FOODS_1_074_WI_1
728,FOODS_1_074_WI_2
729,FOODS_1_074_WI_3
730,FOODS_1_075_CA_1
731,FOODS_1_075_CA_2
732,FOODS_1_075_CA_3
733,FOODS_1_075_CA_4
734,FOODS_1_075_TX_1
735,FOODS_1_075_TX_2
736,FOODS_1_075_TX_3
737,FOODS_1_075_WI_1
738,FOODS_1_075_WI_2
739,FOODS_1_075_WI_3
740,FOODS_1_076_CA_1
741,FOODS_1_076_CA_2
742,FOODS_1_076_CA_3
743,FOODS_1_076_CA_4
744,FOODS_1_076_TX_1
745,FOODS_1_076_TX_2
746,FOODS_1_076_TX_3
747,FOODS_1_076_WI_1
748,FOODS_1_076_WI_2
749,FOODS_1_076_WI_3
750,FOODS_1_077_CA_1
751,FOODS_1_077_CA_2
752,FOODS_1_077_CA_3
753,FOODS_1_077_CA_4
754,FOODS_1_077_TX_1
755,FOODS_1_077_TX_2
756,FOODS_1_077_TX_3
757,FOODS_1_077_WI_1
758,FOODS_1_077_WI_2
759,FOODS_1_077_WI_3
760,FOODS_1_078_CA_1
761,FOODS_1_078_CA_2
762,FOODS_1_078_CA_3
763,FOODS_1_078_CA_4
764,FOODS_1_078_TX_1
765,FOODS_1_078_TX_2
766,FOODS_1_078_TX_3
767,FOODS_1_078_WI_1
768,FOODS_1_078_WI_2
769,FOODS_1_078_WI_3
770,FOODS_1_079_CA_1
771,FOODS_1_079_CA_2
772,FOODS_1_079_CA_3
773,FOODS_1_079_CA_4
774,FOODS_1_079_TX_1
775,FOODS_1_079_TX_2
776,FOODS_1_079_TX_3
777,FOODS_1_079_WI_1
778,FOODS_1_079_WI_2
779,FOODS_1_079_WI_3
780,FOODS_1_080_CA_1
781,FOODS_1_080_CA_2
782,FOODS_1_080_CA_3
783,FOODS_1_080_CA_4
784,FOODS_1_080_TX_1
785,FOODS_1_080_TX_2
786,FOODS_1_080_TX_3
787,FOODS_1_080_WI_1
788,FOODS_1_080_WI_2
789,FOODS_1_080_WI_3
790,FOODS_1_081_CA_1
791,FOODS_1_081_CA_2
792,FOODS_1_081_CA_3
793,FOODS_1_081_CA_4
794,FOODS_1_081_TX_1
795,FOODS_1_081_TX_2
796,FOODS_1_081_TX_3
797,FOODS_1_081_WI_1
798,FOODS_1_081_WI_2
799,FOODS_1_081_WI_3
800,FOODS_1_082_CA_1
801,FOODS_1_082_CA_2
802,FOODS_1_082_CA_3
803,FOODS_1_082_CA_4
804,FOODS_1_082_TX_1
805,FOODS_1_082_TX_2
806,FOODS_1_082_TX_3
807,FOODS_1_082_WI_1
808,FOODS_1_082_WI_2
809,FOODS_1_082_WI_3
810,FOODS_1_083_CA_1
811,FOODS_1_083_CA_2
812,FOODS_1_083_CA_3
813,FOODS_1_083_CA_4
814,FOODS_1_083_TX_1
815,FOODS_1_083_TX_2
816,FOODS_1_083_TX_3
817,FOODS_1_083_WI_1
818,FOODS_1_083_WI_2
819,FOODS_1_083_WI_3
820,FOODS_1_084_CA_1
821,FOODS_1_084_CA_2
822,FOODS_1_084_CA_3
823,FOODS_1_084_CA_4
824,FOODS_1_084_TX_1
825,FOODS_1_084_TX_2
826,FOODS_1_084_TX_3
827,FOODS_1_084_WI_1
828,FOODS_1_084_WI_2
829,FOODS_1_084_WI_3
830,FOODS_1_085_CA_1
831,FOODS_1_085_CA_2
832,FOODS_1_085_CA_3
833,FOODS_1_085_CA_4
834,FOODS_1_085_TX_1
835,FOODS_1_085_TX_2
836,FOODS_1_085_TX_3
837,FOODS_1_085_WI_1
838,FOODS_1_085_WI_2
839,FOODS_1_085_WI_3
840,FOODS_1_086_CA_1
841,FOODS_1_086_CA_2
842,FOODS_1_086_CA_3
843,FOODS_1_086_CA_4
844,FOODS_1_086_TX_1
845,FOODS_1_086_TX_2
846,FOODS_1_086_TX_3
847,FOODS_1_086_WI_1
848,FOODS_1_086_WI_2
849,FOODS_1_086_WI_3
850,FOODS_1_087_CA_1
851,FOODS_1_087_CA_2
852,FOODS_1_087_CA_3
853,FOODS_1_087_CA_4
854,FOODS_1_087_TX_1
855,FOODS_1_087_TX_2
856,FOODS_1_087_TX_3
857,FOODS_1_087_WI_1
858,FOODS_1_087_WI_2
859,FOODS_1_087_WI_3
860,FOODS_1_088_CA_1
861,FOODS_1_088_CA_2
862,FOODS_1_088_CA_3
863,FOODS_1_088_CA_4
864,FOODS_1_088_TX_1
865,FOODS_1_088_TX_2
866,FOODS_1_088_TX_3
867,FOODS_1_088_WI_1
868,FOODS_1_088_WI_2
869,FOODS_1_088_WI_3
870,FOODS_1_089_CA_1
871,FOODS_1_089_CA_2
872,FOODS_1_089_CA_3
873,FOODS_1_089_CA_4
