instance,cpus,gpus
r6g.12xlarge,48,0
r6g.16xlarge,64,0
r6g.2xlarge,8,0
r6g.4xlarge,16,0
r6g.8xlarge,32,0
r6g.large,2,0
r6g.medium,1,0
r6g.metal,64,0
r6g.xlarge,4,0
r6gd.12xlarge,48,0
r6gd.16xlarge,64,0
r6gd.2xlarge,8,0
r6gd.4xlarge,16,0
r6gd.8xlarge,32,0
r6gd.large,2,0
r6gd.medium,1,0
r6gd.metal,64,0
r6gd.xlarge,4,0
r6i.12xlarge,48,0
r6i.16xlarge,64,0
r6i.24xlarge,96,0
r6i.2xlarge,8,0
r6i.32xlarge,128,0
r6i.4xlarge,16,0
r6i.8xlarge,32,0
r6i.large,2,0
r6i.metal,128,0
r6i.xlarge,4,0
t1.micro,1,0
t2.2xlarge,8,0
t2.large,2,0
t2.medium,2,0
t2.micro,1,0
t2.nano,1,0
t2.small,1,0
t2.xlarge,4,0
t3.2xlarge,8,0
t3.large,2,0
t3.medium,2,0
t3.micro,2,0
t3.nano,2,0
t3.small,2,0
t3.xlarge,4,0
t3a.2xlarge,8,0
t3a.large,2,0
t3a.medium,2,0
t3a.micro,2,0
t3a.nano,2,0
t3a.small,2,0
t3a.xlarge,4,0
t4g.2xlarge,8,0
t4g.large,2,0
t4g.medium,2,0
t4g.micro,2,0
t4g.nano,2,0
t4g.small,2,0
t4g.xlarge,4,0
u-12tb1.112xlarge,448,0
u-3tb1.56xlarge,224,0
u-6tb1.112xlarge,448,0
u-6tb1.56xlarge,224,0
u-9tb1.112xlarge,448,0
vt1.24xlarge,96,0
vt1.3xlarge,12,0
vt1.6xlarge,24,0
x1.16xlarge,64,0
x1.32xlarge,128,0
x1e.16xlarge,64,0
x1e.2xlarge,8,0
x1e.32xlarge,128,0
x1e.4xlarge,16,0
x1e.8xlarge,32,0
x1e.xlarge,4,0
x2gd.12xlarge,48,0
x2gd.16xlarge,64,0
x2gd.2xlarge,8,0
x2gd.4xlarge,16,0
x2gd.8xlarge,32,0
x2gd.large,2,0
x2gd.medium,1,0
x2gd.metal,64,0
x2gd.xlarge,4,0
x2iezn.12xlarge,48,0
x2iezn.2xlarge,8,0
x2iezn.4xlarge,16,0
x2iezn.6xlarge,24,0
x2iezn.8xlarge,32,0
x2iezn.metal,48,0
z1d.12xlarge,48,0
z1d.2xlarge,8,0
z1d.3xlarge,12,0
z1d.6xlarge,24,0
z1d.large,2,0
z1d.metal,48,0
z1d.xlarge,4,0
